person,personLabel
http://www.wikidata.org/entity/Q3345479,वीरेंद्र सहवाग
http://www.wikidata.org/entity/Q3349954,रोहन गावस्कर
http://www.wikidata.org/entity/Q3120961,गुरमीत सिंह
http://www.wikidata.org/entity/Q3129379,कृष्णा पूनिया
http://www.wikidata.org/entity/Q296282,लिएंडर पेस
http://www.wikidata.org/entity/Q312554,महेश भूपति
http://www.wikidata.org/entity/Q3154343,इरफ़ान कोलोठूम थोडी
http://www.wikidata.org/entity/Q3168595,रुसी सुर्ती
http://www.wikidata.org/entity/Q3176237,शिखा ओबेरॉय
http://www.wikidata.org/entity/Q3177430,Khashaba Dadasaheb Jadhav
http://www.wikidata.org/entity/Q320570,अभिजीत गुप्ता
http://www.wikidata.org/entity/Q320610,अभिनव बिंद्रा
http://www.wikidata.org/entity/Q3521417,नरी कांट्रेक्टर
http://www.wikidata.org/entity/Q3521445,मुरली विजय
http://www.wikidata.org/entity/Q3521452,हेमू अधिकारी
http://www.wikidata.org/entity/Q3521468,उमेश यादव
http://www.wikidata.org/entity/Q3007571,रविचंद्रन अश्विन
http://www.wikidata.org/entity/Q3027985,दिलीप सरदेसाई
http://www.wikidata.org/entity/Q3049628,एकनाथ सोलकर
http://www.wikidata.org/entity/Q3056388,टीण्टू ळॉऑक्का
http://www.wikidata.org/entity/Q255044,हम्पी कोनेरु
http://www.wikidata.org/entity/Q264639,गगन नारंग
http://www.wikidata.org/entity/Q269014,मिलखा सिंह
http://www.wikidata.org/entity/Q3305073,सुरजीत सिंह
http://www.wikidata.org/entity/Q3521101,हेमंग बडाणी
http://www.wikidata.org/entity/Q3521115,डायना एडुल्जी
http://www.wikidata.org/entity/Q3521143,सुरिन्दर खन्ना
http://www.wikidata.org/entity/Q3521148,बापू नाडकर्णी
http://www.wikidata.org/entity/Q3358908,नरसिंह पंचम यादव
http://www.wikidata.org/entity/Q320613,Abhinn Shyam Gupta
http://www.wikidata.org/entity/Q3284484,Urdu
http://www.wikidata.org/entity/Q3303121,टी॰ ई॰ श्रीनिवासन
http://www.wikidata.org/entity/Q2003153,भुवनेश्वर कुमार
http://www.wikidata.org/entity/Q3527698,खांडु रंगनेकर
http://www.wikidata.org/entity/Q3527706,बलविंदर संधु
http://www.wikidata.org/entity/Q3527716,दीपक शोधान
http://www.wikidata.org/entity/Q3527738,एम॰ एल॰ जयसिम्हा
http://www.wikidata.org/entity/Q3527749,ऋषिकेश कानीटकर
